---- Opened the serial port /dev/ttyUSB0 ----
FSR readings: 0.24, 0.28, 0.27, 0.19, 0.25, 0.18, 0.14, 0.12, 0.08, 0.22
FSR readings: 0.23, 0.27, 0.21, 0.22, 0.22, 0.22, 0.12, 0.12, 0.11, 0.26
FSR readings: 0.22, 0.21, 0.27, 0.24, 0.24, 0.19, 0.10, 0.12, 0.09, 0.21
FSR readings: 0.23, 0.24, 0.25, 0.23, 0.22, 0.13, 0.12, 0.14, 0.11, 0.22
FSR readings: 0.32, 0.23, 0.23, 0.25, 0.19, 0.19, 0.13, 0.13, 0.13, 0.23
FSR readings: 0.25, 0.20, 0.25, 0.20, 0.24, 0.18, 0.15, 0.13, 0.15, 0.25
FSR readings: 0.16, 0.23, 0.22, 0.24, 0.23, 0.19, 0.11, 0.12, 0.07, 0.24
FSR readings: 0.23, 0.27, 0.27, 0.25, 0.18, 0.16, 0.15, 0.12, 0.09, 0.22
FSR readings: 0.21, 0.24, 0.19, 0.25, 0.21, 0.15, 0.11, 0.17, 0.12, 0.22
FSR readings: 0.22, 0.25, 0.27, 0.23, 0.22, 0.15, 0.12, 0.18, 0.12, 0.21
FSR readings: 0.24, 0.19, 0.25, 0.19, 0.21, 0.20, 0.13, 0.12, 0.09, 0.23
FSR readings: 0.22, 0.19, 0.29, 0.25, 0.20, 0.16, 0.09, 0.15, 0.12, 0.22
FSR readings: 0.20, 0.20, 0.22, 0.17, 0.20, 0.13, 0.13, 0.15, 0.10, 0.26
FSR readings: 0.20, 0.22, 0.23, 0.22, 0.24, 0.15, 0.11, 0.10, 0.10, 0.21
FSR readings: 0.19, 0.25, 0.27, 0.26, 0.19, 0.14, 0.12, 0.14, 0.08, 0.22
FSR readings: 2.65, 2.42, 2.43, 2.32, 2.36, 2.26, 2.21, 2.19, 2.19, 959.51
FSR readings: 2.13, 1.94, 1.90, 1.86, 1.91, 1.82, 1.79, 1.68, 1.77, 923.70
FSR readings: 2.28, 1.98, 2.02, 1.98, 1.93, 1.86, 1.84, 1.76, 1.70, 1010.84
FSR readings: 0.24, 0.20, 0.23, 0.28, 0.19, 0.17, 0.14, 0.14, 0.13, 0.25
FSR readings: 2.34, 1.97, 2.04, 1.96, 1.94, 1.87, 1.90, 1.77, 1.78, 1012.38
FSR readings: 2.32, 2.09, 2.01, 1.92, 1.94, 1.86, 1.85, 1.76, 1.75, 1013.19
FSR readings: 2.33, 2.06, 2.06, 2.02, 1.95, 1.83, 1.88, 1.77, 1.78, 1013.13
FSR readings: 2.33, 2.04, 2.08, 1.97, 1.98, 1.89, 1.83, 1.79, 1.82, 1013.23
FSR readings: 2.32, 2.00, 2.05, 1.98, 1.92, 1.88, 1.85, 1.73, 1.85, 1013.13
FSR readings: 2.28, 2.06, 2.09, 1.98, 2.02, 1.86, 1.83, 1.70, 1.84, 1013.11
FSR readings: 2.33, 2.06, 2.03, 1.97, 1.90, 1.89, 1.86, 1.72, 1.78, 1013.15
FSR readings: 1.70, 1.50, 1.51, 1.41, 1.38, 1.32, 1.34, 1.23, 1.30, 717.72
FSR readings: 0.20, 0.19, 0.29, 0.23, 0.20, 0.16, 0.14, 0.12, 0.15, 0.22
FSR readings: 0.23, 0.21, 0.25, 0.25, 0.26, 0.19, 0.11, 0.12, 0.10, 0.20
FSR readings: 1.96, 1.98, 1.93, 1007.72, 2.31, 1.83, 1.83, 1.76, 1.75, 2.01
FSR readings: 0.18, 0.27, 0.19, 3.17, 0.17, 0.17, 0.10, 0.15, 0.10, 0.20
FSR readings: 0.20, 0.20, 0.25, 0.22, 0.19, 0.18, 0.12, 0.13, 0.16, 0.16
FSR readings: 997.52, 2.40, 1.92, 1.88, 1.89, 1.83, 1.77, 1.79, 1.80, 1.96
FSR readings: 994.11, 2.34, 1.99, 1.91, 1.86, 1.84, 1.77, 1.83, 1.77, 1.98
