---- Opened the serial port /dev/ttyUSB0 ----
FSR Live: 0.34, 0.24, 0.15, 0.17, 0.12, 0.06, 0.10, 0.09, 0.14, 0.22
FSR Live: 0.35, 0.17, 0.25, 0.25, 0.14, 0.11, 0.10, 0.12, 0.09, 0.20
FSR Live: 0.36, 0.15, 0.20, 0.25, 0.15, 0.15, 0.17, 0.17, 0.09, 0.16
FSR Live: 0.39, 0.25, 0.14, 0.12, 0.11, 0.11, 0.15, 0.15, 0.08, 0.21
FSR Live: 0.34, 0.20, 0.21, 0.20, 0.21, 0.16, 0.10, 0.11, 0.09, 0.19
FSR Live: 0.40, 0.19, 0.25, 0.16, 0.20, 0.11, 0.20, 0.19, 0.08, 0.17
FSR Live: 0.37, 0.24, 0.20, 0.24, 0.15, 0.15, 0.15, 0.25, 0.11, 0.20
FSR Live: 0.31, 0.20, 0.19, 0.24, 0.09, 0.17, 0.19, 0.17, 0.08, 0.21
FSR Live: 0.27, 0.25, 0.26, 0.29, 0.15, 0.17, 0.17, 0.16, 0.05, 0.19
FSR Live: 0.31, 0.29, 0.20, 0.19, 0.14, 0.20, 0.15, 0.12, 0.15, 0.22
FSR Live: 0.36, 0.29, 0.20, 0.14, 0.14, 0.15, 0.14, 0.12, 0.08, 0.30
FSR Live: 0.40, 1.36, 0.25, 0.25, 0.16, 0.10, 0.09, 0.17, 0.14, 0.26
FSR Live: 0.41, 14.14, 0.46, 0.34, 0.30, 0.29, 0.36, 0.26, 0.31, 0.44
FSR Live: 0.46, 0.64, 0.40, 0.36, 0.37, 0.32, 0.25, 0.30, 0.45, 0.40
FSR Live: 0.55, 0.73, 0.54, 0.54, 0.57, 15.30, 0.45, 0.52, 0.63, 0.63
FSR Live: 0.57, 0.56, 1.33, 1.99, 0.90, 18.16, 1.69, 2.18, 0.43, 0.68
FSR Live: 0.59, 0.60, 0.60, 0.37, 0.27, 4.76, 0.37, 0.45, 0.45, 0.68
FSR Live: 0.41, 0.44, 0.26, 0.25, 0.24, 0.24, 0.16, 0.20, 6.06, 0.21
FSR Live: 0.31, 0.36, 0.29, 0.24, 0.12, 0.15, 0.12, 0.11, 0.14, 0.31
FSR Live: 0.30, 0.34, 0.27, 0.16, 0.19, 0.20, 0.19, 0.25, 0.10, 0.20
FSR Live: 0.43, 0.30, 0.29, 0.19, 0.19, 0.19, 0.30, 0.11, 0.15, 0.21
FSR Live: 1.64, 1.76, 1.71, 1.70, 1.64, 1.55, 905.25, 1.98, 1.55, 1.70
FSR Live: 0.39, 0.31, 0.17, 0.17, 0.26, 0.15, 6.95, 0.17, 0.14, 0.20
FSR Live: 0.31, 0.32, 0.26, 0.11, 0.19, 0.16, 0.31, 0.14, 0.15, 0.20
FSR Live: 0.37, 0.26, 0.27, 0.15, 0.25, 0.15, 3.89, 0.20, 0.16, 0.24
FSR Live: 0.31, 0.37, 0.26, 0.17, 0.14, 0.14, 0.12, 0.17, 0.05, 0.30
FSR Live: 0.35, 0.40, 0.26, 0.16, 0.11, 0.17, 0.14, 0.15, 0.08, 0.19
=====================================
STABLE �� DATA SAVED
FSR Snapshot: 0.35, 0.32, 0.21, 0.22, 0.20, 0.22, 0.14, 0.12, 0.10, 0.30
=====================================
FSR Live: 0.35, 0.32, 0.21, 0.22, 0.20, 0.22, 0.14, 0.12, 0.10, 0.30
FSR Live: 0.34, 0.39, 0.30, 0.21, 0.10, 0.15, 0.12, 0.15, 0.09, 0.29
FSR Live: 0.32, 0.40, 0.21, 0.16, 0.11, 0.19, 0.16, 0.11, 0.11, 0.36
FSR Live: 1.24, 1.14, 1.06, 0.90, 0.88, 0.94, 0.88, 0.80, 0.79, 395.84
FSR Live: 0.37, 0.26, 0.21, 0.20, 0.17, 0.06, 0.10, 0.16, 0.09, 0.22
FSR Live: 0.20, 0.29, 0.21, 0.16, 0.11, 0.10, 0.21, 0.12, 0.03, 7.23
FSR Live: 0.19, 0.15, 0.24, 0.46, 0.20, 0.12, 0.19, 0.10, 0.05, 6.01
FSR Live: 0.24, 0.32, 0.21, 0.19, 0.19, 0.14, 0.12, 0.08, 0.05, 7.76
FSR Live: 0.16, 0.30, 0.15, 1.84, 0.11, 0.09, 0.08, 0.08, 0.09, 8.27
FSR Live: 0.19, 0.27, 0.20, 20.12, 0.22, 0.16, 0.12, 0.15, 0.15, 0.36
FSR Live: 0.19, 0.39, 0.22, 9.06, 0.15, 0.17, 0.16, 0.14, 0.10, 0.21
FSR Live: 0.34, 0.31, 0.20, 0.26, 0.21, 0.19, 0.10, 0.15, 0.12, 3.45
FSR Live: 0.30, 0.40, 0.21, 0.26, 0.17, 0.12, 0.11, 0.22, 0.12, 0.19
FSR Live: 0.34, 0.29, 7.24, 0.12, 0.19, 0.12, 0.06, 0.17, 0.12, 0.19
=====================================
STABLE ��� DATA SAVED
FSR Snapshot: 0.37, 0.34, 0.21, 0.22, 0.24, 0.20, 0.09, 0.15, 0.10, 0.20
=====================================
FSR Live: 0.37, 0.34, 0.21, 0.22, 0.24, 0.20, 0.09, 0.15, 0.10, 0.20
FSR Live: 0.45, 0.47, 0.30, 0.27, 0.22, 0.12, 0.08, 0.19, 0.06, 0.19
FSR Live: 0.40, 0.49, 0.29, 0.09, 0.11, 0.15, 0.14, 0.12, 0.19, 0.21
FSR Live: 0.32, 0.36, 0.31, 0.25, 0.24, 0.24, 0.14, 0.16, 0.11, 0.17
FSR Live: 0.36, 0.35, 0.20, 0.19, 0.21, 0.21, 0.20, 0.19, 0.12, 0.26
FSR Live: 0.25, 0.39, 0.21, 0.35, 0.19, 0.17, 0.20, 0.20, 0.14, 0.27
FSR Live: 0.29, 0.40, 0.16, 0.27, 0.17, 0.26, 0.14, 0.16, 0.11, 0.26
FSR Live: 0.37, 0.35, 0.24, 0.32, 0.25, 0.12, 0.17, 0.15, 0.19, 0.17
FSR Live: 0.43, 0.54, 0.17, 0.45, 0.15, 0.17, 0.14, 0.11, 0.10, 0.29
FSR Live: 0.22, 0.12, 0.24, 0.11, 0.14, 0.22, 0.04, 0.09, 0.05, 0.08
FSR Live: 0.15, 0.94, 0.14, 0.22, 0.19, 0.11, 0.06, 0.01, 0.05, 0.32
FSR Live: 0.24, 12.50, 0.15, 0.27, 0.24, 0.16, 0.08, 0.10, 0.05, 0.24
FSR Live: 0.17, 18.86, 0.26, 0.22, 0.16, 0.17, 0.09, 0.12, 0.05, 0.24
FSR Live: 0.14, 7.20, 0.24, 0.20, 0.12, 0.08, 0.08, 0.14, 0.12, 0.12
FSR Live: 0.36, 0.22, 0.25, 0.32, 0.15, 0.15, 0.15, 0.26, 0.08, 0.17
FSR Live: 0.22, 0.15, 0.14, 0.27, 0.21, 0.15, 0.10, 0.15, 0.05, 0.15
FSR Live: 0.49, 0.40, 0.10, 0.27, 0.11, 0.12, 0.08, 0.10, 0.14, 0.15
FSR Live: 0.56, 0.66, 0.19, 0.26, 0.17, 0.24, 0.12, 0.17, 0.12, 0.31
FSR Live: 0.65, 0.76, 0.24, 0.35, 0.08, 0.20, 0.19, 0.17, 0.06, 0.26
FSR Live: 0.65, 0.77, 0.19, 0.43, 0.11, 0.22, 0.11, 0.20, 0.14, 0.24
FSR Live: 0.69, 0.66, 0.27, 0.30, 0.17, 0.17, 0.12, 0.12, 0.14, 0.25
FSR Live: 0.56, 0.60, 0.20, 0.34, 0.14, 0.19, 0.09, 0.14, 0.09, 0.27
FSR Live: 0.55, 0.63, 0.25, 0.37, 0.19, 0.16, 0.11, 0.25, 0.14, 0.34
FSR Live: 0.63, 0.63, 0.20, 0.32, 0.11, 0.16, 0.11, 0.21, 0.11, 0.22
FSR Live: 0.57, 0.57, 0.22, 0.37, 0.20, 0.25, 0.14, 0.11, 0.15, 0.22
FSR Live: 0.61, 0.61, 0.27, 0.32, 0.20, 0.19, 0.11, 0.17, 0.15, 0.25
FSR Live: 0.54, 0.57, 0.19, 0.40, 0.17, 0.22, 0.11, 0.15, 0.15, 0.26
FSR Live: 0.57, 0.55, 0.20, 0.29, 0.20, 0.17, 0.14, 0.15, 0.10, 0.21
FSR Live: 0.68, 0.50, 0.16, 0.30, 0.15, 0.17, 0.14, 0.12, 0.17, 0.24
FSR Live: 0.37, 0.34, 0.16, 0.24, 0.22, 0.15, 0.10, 0.20, 0.17, 0.26
FSR Live: 0.36, 0.37, 0.15, 0.20, 0.14, 0.09, 0.17, 0.16, 0.05, 0.24
FSR Live: 0.41, 0.39, 0.30, 0.29, 0.15, 0.19, 0.10, 0.17, 0.14, 0.19
FSR Live: 3.29, 3.61, 3.35, 4.04, 2.75, 2.89, 3.34, 4.24, 4.76, 4.26
FSR Live: 0.31, 0.27, 0.16, 0.22, 0.15, 0.20, 0.09, 0.19, 0.08, 0.19
FSR Live: 0.37, 0.39, 0.25, 0.29, 0.20, 0.16, 0.17, 0.20, 0.09, 0.24
FSR Live: 0.32, 0.25, 0.27, 0.25, 0.26, 0.12, 0.12, 0.17, 0.10, 0.16
FSR Live: 0.39, 0.26, 0.12, 0.22, 0.16, 0.24, 0.08, 0.24, 0.21, 0.26
FSR Live: 0.35, 0.26, 0.12, 0.27, 0.14, 0.21, 0.20, 0.06, 0.12, 0.19
FSR Live: 0.34, 0.34, 0.26, 0.31, 0.17, 0.15, 0.24, 0.19, 0.15, 0.24
FSR Live: 0.45, 0.50, 0.45, 0.40, 0.39, 0.32, 0.32, 243.11, 0.41, 0.35
